DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionRelativeFrequency
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,4,4,309.101994,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Palustrine Emergent,2,2,388.25325,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,15,15,146.44816559999998,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,5,5,230.6105928,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Palustrine Emergent,3,3,300.96533880000004,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Palustrine Emergent,4,4,324.8147072,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,6,6,135.20228456,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Palustrine Emergent,5,5,100.76967599999999,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,7,7,216.61344960000002,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,16,16,237.88486919999997,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,8,8,390.01948200000004,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,9,9,859.1699588000001,1
Wetland: Palustrine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Palustrine Emergent,6,6,382.27313159999994,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,10,10,631.7828902,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,11,11,361.66022767999993,1
Wetland: Estuarine Emergent Carbon Initial Conditions: Aboveground Very Fast,Site ID Wetland: Estuarine Emergent,17,17,175.38922256,1
