Site ID,Basin ID,Wetland Type,Plot,Sampling Event,Bag ID,Mass Remaining (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,2,T3,65,61.77341038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,3,T3,71,69.18760396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,1,T3,3,53.14694437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,2,T3,5,63.61357185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,3,T3,11,56.13816577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,1,T3,16,45.59139091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,2,T3,18,62.8546295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,3,T3,24,53.50356953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,1,T3,96,49.82637763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,2,T3,103,57.57077234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,4,3,T3,107,60.58716277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,1,T3,28,64.46135977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,2,T3,29,65.51567588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,1,3,T3,36,58.17061067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,1,T3,121,51.52208266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,2,T3,126,49.64242018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,4,3,T3,131,58.77369474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,1,T3,205,56.52966401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,2,T3,209,53.52875285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,2,3,T3,214,49.0273861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,1,T3,72,61.67787274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,2,T3,79,68.81570807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,3,3,T3,82,76.85282071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,1,T3,85,64.21826145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,2,T3,91,70.17881586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2825,1,3,3,T3,94,69.38027217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,1,T3,158,63.24263066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,2,T3,161,70.88806818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3166,2,1,3,T3,166,65.97510167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,1,T3,231,74.18968642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,2,T3,233,66.91037275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,2,3,3,T3,236,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,1,T3,241,68.81942638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,2,T3,246,72.10706442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2,3,3,T3,249,78.62844479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,1,T3,38,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,2,T3,42,24.36457806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4045,1,2,3,T3,46,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,1,T3,183,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,2,T3,185,37.26121355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,2,2,3,T3,190,21.47683571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,1,T3,110,44.99476546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,2,T3,115,46.65143566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1,4,3,T3,118,53.47257309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,1,T3,168,26.0164118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,2,T3,175,20.6042984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA0104,2,2,3,T3,178,31.31918958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,1,T4,265,26.11302211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,2,T4,270,16.04862817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2,4,3,T4,272,26.98345618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,1,T4,133,36.53789163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,2,T4,136,33.8111369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,1,3,T4,143,40.97177576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,1,T4,278,11.01861096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,2,T4,280,20.57169238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2,4,3,T4,285,11.56139967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,1,T4,193,26.15079727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,2,T4,197,34.51047836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2,2,3,T4,203,30.43781321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,1,T4,255,16.37504095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,2,T4,256,23.5017199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2,4,3,T4,261,21.10802621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,1,T4,217,21.91304348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,2,T4,221,30.8185907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2,3,3,T4,225,42.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,1,T4,147,33.26868218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,2,T4,148,41.05367836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2,1,3,T4,153,35.7668709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,1,T4,49,11.85302444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,2,T4,54,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1,2,3,T4,59,16.93543148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,1,T4,60,24.62799951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,2,T4,64,42.47353927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1,3,3,T4,69,36.61525197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,1,T4,2,41.00538981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,2,T4,6,37.10712735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,1,3,T4,9,41.5719959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,1,1,T4,13,31.13425484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
