Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Unconsolidated Shore:All,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,,,,Unconsolidated Shore:All,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,,,,Unconsolidated Shore:All,,,Decay: AG Fast -> AG Slow [Type],,0.0435,,,,,
,,,,,Unconsolidated Shore:All,,,Decay: AG Medium -> AG Slow [Type],,0.0113,,,,,
,,,,,Unconsolidated Shore:All,,,Decay: AG Very Fast -> AG Slow [Type],,0.1479,,,,,
,,,,,Unconsolidated Shore:All,,,Decay: BG Fast -> BG Slow [Type],,0.0435,,,,,
,,,,,Unconsolidated Shore:All,,,Decay: BG Very Fast -> BG Slow [Type],,0.1514,,,,,
,,,,,Unconsolidated Shore:All,,,Decay: Snag Branch -> AG Slow [Type],,0.0217,,,,,
,,,,,Unconsolidated Shore:All,,,Decay: Snag Stem -> AG Slow [Type],,0.0057,,,,,
,,,,,Unconsolidated Shore:All,,,Emission: AG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Unconsolidated Shore:All,,,Emission: AG Medium -> Atmosphere [Type],,0.0553,,,,,
,,,,,Unconsolidated Shore:All,,,Emission: AG Slow -> Atmosphere [Type],,0.0338,,,,,
,,,,,Unconsolidated Shore:All,,,Emission: AG Very Fast -> Atmosphere [Type],,0.6516,,,,,
,,,,,Unconsolidated Shore:All,,,Emission: BG Fast -> Atmosphere [Type],,0.2122,,,,,
,,,,,Unconsolidated Shore:All,,,Emission: BG Very Fast -> Atmosphere [Type],,0.7393,,,,,
,,,,,Unconsolidated Shore:All,,,Emission: Snag Branch -> Atmosphere [Type],,0.1061,,,,,
,,,,,Unconsolidated Shore:All,,,Emission: Snag Stem -> Atmosphere [Type],,0.0276,,,,,
,,,,,Unconsolidated Shore:All,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Unconsolidated Shore:All,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Unconsolidated Shore:All,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,,Water:All,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.01,,,,,
,,,,,Water:All,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.01,,,,,
